price|sqft|grg_cars|pool
247049|1737|1|1
207673|1484|3|0
234277|1428|1|0
217354|1335|2|0
199732|1307|2|0
243711|1697|1|1
169083|1235|1|0
320653|1942|1|0
286583|1671|2|1
235622|1481|3|1
229443|1348|3|1
223978|1375|3|0
271864|1717|1|0
265132|1596|1|1
228825|1413|2|0
324157|1955|3|1
255498|1622|2|1
243930|1576|1|1
280768|1724|2|0
310021|1817|1|1
267261|1806|2|0
211732|1418|1|1
222064|1490|1|0
186546|1276|2|0
243242|1587|3|0
203997|1481|2|0
243093|1490|1|1
190984|1367|1|0
213541|1474|2|0
181022|1221|2|1
235364|1620|2|1
232569|1487|2|0
172667|1066|2|0
156460|1119|2|0
235748|1430|2|1
222664|1601|3|0
184614|1255|2|1
240040|1605|1|0
266919|1694|2|0
222890|1581|1|0
239570|1625|2|0
179781|1210|1|0
285057|1769|3|1
221689|1602|1|0
276265|1836|3|1
227456|1457|2|1
244954|1608|1|0
207093|1442|1|0
255511|1631|2|0
237518|1409|2|1
275350|1645|2|1
279107|1669|2|1
178087|1205|1|1
240725|1744|2|0
205171|1250|1|0
255187|1809|2|0
270731|1720|3|1
268061|1700|2|0
261537|1730|1|1
207263|1322|1|1
263393|1599|1|0
253212|1780|2|0
250015|1688|1|1
239803|1475|2|1
180818|1272|2|0
260878|1740|1|1
209436|1406|1|1
217376|1409|2|1
255278|1664|2|0
231576|1583|1|1
233692|1601|1|1
200239|1430|3|0
189139|1185|2|0
187967|1378|1|0
216242|1294|1|1
224202|1319|1|1
228021|1479|2|0
234627|1455|2|1
216515|1264|2|1
235449|1392|1|1
228253|1448|3|0
216903|1469|3|1
222008|1452|1|0
210983|1442|3|1
275211|1718|3|1
298947|1781|2|1
253365|1729|1|1
246713|1677|1|1
194221|1413|3|0
239602|1471|1|1
215034|1392|2|1
235451|1399|3|1
251112|1525|1|1
276042|1676|1|0
258062|1501|3|1
215903|1343|2|1
204014|1425|1|1
246253|1732|2|0
211919|1396|2|0
196356|1220|3|1
